subjID, side, relpos, edgeID, weight
1,0,1,1,1.1321
2,0,1,1,3.0141
3,0,1,1,2.7369
4,0,1,1,1.2969
5,0,1,1,1.1287
6,0,1,1,8.9548
7,0,1,1,0.24502
8,0,1,1,21
9,0,1,1,4.4831
10,0,1,1,0.11717
11,0,1,1,3.7899
12,0,1,1,6.0329
13,0,1,1,1.8973
14,0,1,1,2.2891
15,0,1,1,4.6404
16,0,1,1,0.71755
17,0,1,1,1.503
18,0,1,1,6.7109
19,0,1,1,6.2029
20,0,1,1,0.17722
21,0,1,1,1.7182
22,0,2,1,0.4607
23,0,3,1,10.547
24,0,2,1,2.386
25,0,3,1,0.57876
26,0,2,1,2.1153
27,0,3,1,0.70762
28,0,3,1,9.8137
29,0,3,1,0.62774
30,0,3,1,0.87132
31,0,2,1,0.74766
32,0,2,1,10.888
33,0,2,1,4.2385
34,0,2,1,1.2072
35,0,3,1,0.33698
36,0,2,1,11.963
37,0,2,1,1.4207
38,0,2,1,2.0237
39,0,2,1,3.7544
40,0,3,1,5.894
41,0,3,1,3.4262
42,0,3,1,1.4731
1,1,1,1,9.2318
2,1,1,1,6.9902
3,1,1,1,19.576
4,1,1,1,8.7872
5,1,1,1,16.219
6,1,1,1,15.821
7,1,1,1,1.9475
8,1,1,1,5.4739
9,1,1,1,8.4926
10,1,1,1,13.43
11,1,1,1,24.036
12,1,1,1,11.177
13,1,1,1,13.664
14,1,1,1,5.6565
15,1,1,1,4.7524
16,1,1,1,10.184
17,1,1,1,7.4439
18,1,1,1,18.763
19,1,1,1,16.319
20,1,1,1,5.3022
21,1,1,1,15.209
22,1,3,1,0.54339
23,1,2,1,9.2351
24,1,3,1,17.99
25,1,2,1,8.5233
26,1,3,1,3.6911
27,1,2,1,4.1394
28,1,2,1,4.3795
29,1,2,1,4.8141
30,1,2,1,1.7855
31,1,3,1,10.919
32,1,3,1,2.059
33,1,3,1,6.0113
34,1,3,1,13.613
35,1,2,1,7.7292
36,1,3,1,16.239
37,1,3,1,3.5616
38,1,3,1,11.429
39,1,3,1,9.6191
40,1,2,1,4.8042
41,1,2,1,5.5413
42,1,2,1,15.136
1,0,1,2,13.095
2,0,1,2,8.7434
3,0,1,2,6.9478
4,0,1,2,9.1429
5,0,1,2,4.2961
6,0,1,2,0.38636
7,0,1,2,3.2953
8,0,1,2,16.774
9,0,1,2,2.9552
10,0,1,2,0.85526
11,0,1,2,3.8675
12,0,1,2,40.538
13,0,1,2,3.4508
14,0,1,2,4.8138
15,0,1,2,26.23
16,0,1,2,1.3907
17,0,1,2,76.138
18,0,1,2,26.598
19,0,1,2,91.783
20,0,1,2,136.42
21,0,1,2,29.571
22,0,2,2,21.416
23,0,3,2,48.413
24,0,2,2,0.61458
25,0,3,2,7.5441
26,0,2,2,2.3777
27,0,3,2,3.0321
28,0,3,2,2.1204
29,0,3,2,17.266
